,asin,title,description,brand,date,price
0,B00006GNTW,"HON Leather Executive Chair - Pillow-Soft Series High-Back Office Chair, Black (H2091)","[""Some chairs project significance, while others deliver comfort. Pillow-Soft seating by HON does both, merging whole-body support with an authoritative presence. One of HON's most popular seating solutions, Pillow-Soft features a thick, high-resiliency seat cushion, with a top layer of memory foam to relieve pressure points. The back is densely padded with fiber-fill, and features a lumbar-cradling recess for the lower spine. Together, the seat and back deliver optimal comfort for users up to 300 lbs. The tufted, gathered upholstery looks substantial and professional. No wonder this chair is a top choice among business owners, independent consultants and government officials for their own use and for conference rooms. People love the look, appreciate the comfort and take satisfaction in the value.""]",HON,"December 3, 2004",$55.99
1,B00006GNTW,"HON Leather Executive Chair - Pillow-Soft Series High-Back Office Chair, Black (H2091)","[""Some chairs project significance, while others deliver comfort. Pillow-Soft seating by HON does both, merging whole-body support with an authoritative presence. One of HON's most popular seating solutions, Pillow-Soft features a thick, high-resiliency seat cushion, with a top layer of memory foam to relieve pressure points. The back is densely padded with fiber-fill, and features a lumbar-cradling recess for the lower spine. Together, the seat and back deliver optimal comfort for users up to 300 lbs. The tufted, gathered upholstery looks substantial and professional. No wonder this chair is a top choice among business owners, independent consultants and government officials for their own use and for conference rooms. People love the look, appreciate the comfort and take satisfaction in the value.""]",HON,"December 3, 2004",$55.99
2,B00006RVS4,"HON 5991T T-Arms for ComforTask Series Swivel Task Chairs, Black",['Fixed arms remain in place. Help reduce strain on neck and shoulders. Heavy-duty construction provides strength and durability. Arm Style: T-Arm; For Use With: HON ComforTask Series Swivel Task Chairs; Arm Material(s): N\\A; Armcap Material(s): Molded Ur'],HON,,
3,B00006RVS4,"HON 5991T T-Arms for ComforTask Series Swivel Task Chairs, Black",['Fixed arms remain in place. Help reduce strain on neck and shoulders. Heavy-duty construction provides strength and durability. Arm Style: T-Arm; For Use With: HON ComforTask Series Swivel Task Chairs; Arm Material(s): N\\A; Armcap Material(s): Molded Ur'],HON,,
4,B000078CRW,"HON 5903AB90T Comfortask Multi-Task Swivel/Tilt Chair, Blue","['The ergonomic chair that fits you and your budget! Multi-task control, pneumatic seat height adjustment, 360 swivel, adjustable back height, strong lumbar support and oversized cushions. Upholstery has stain-resistant protection. Black steel base and fra']",HON,"May 10, 2006",$34.99
5,B000078CRW,"HON 5903AB90T Comfortask Multi-Task Swivel/Tilt Chair, Blue","['The ergonomic chair that fits you and your budget! Multi-task control, pneumatic seat height adjustment, 360 swivel, adjustable back height, strong lumbar support and oversized cushions. Upholstery has stain-resistant protection. Black steel base and fra']",HON,"May 10, 2006",$34.99
6,B00009V438,"Furniture At Work(R) Wave Executive Chair , Black",[],Office Depot,"May 23, 2003",
7,B00009V438,"Furniture At Work(R) Wave Executive Chair , Black",[],Office Depot,"May 23, 2003",
8,B0000AQNT6,"Safco Products SitStar Stool 6660BL, Black, Chrome Base, Height Adjustable, Tractor-shaped Seat","['Safco SitStar Stool features a height-adjustable polyurethane foam tractor-shaped seat with sturdy, 5-star base for years of reliable use. Adjustable foot ring may help improve circulation by reducing pressure points in legs while seated. Pneumatic lever provides easy height adjustment for a comfortable, personalized fit. Five-star chrome base with swivel wheels allows easy 360-degree motion and performs well on carpeting as well as smooth surfaces for optimum usability. Ideal for industrial or construction environments as well as storage rooms, production areas, warehouses, auto garages and receiving areas.']",Safco Products,"November 1, 2000",$28.39
9,B0000AQNT6,"Safco Products SitStar Stool 6660BL, Black, Chrome Base, Height Adjustable, Tractor-shaped Seat","['Safco SitStar Stool features a height-adjustable polyurethane foam tractor-shaped seat with sturdy, 5-star base for years of reliable use. Adjustable foot ring may help improve circulation by reducing pressure points in legs while seated. Pneumatic lever provides easy height adjustment for a comfortable, personalized fit. Five-star chrome base with swivel wheels allows easy 360-degree motion and performs well on carpeting as well as smooth surfaces for optimum usability. Ideal for industrial or construction environments as well as storage rooms, production areas, warehouses, auto garages and receiving areas.']",Safco Products,"November 1, 2000",$28.39
10,B0000DJEG4,"Furniture At Work(R) Mission High-Back Executive Chair, Black/Charcoal",[],Office Depot,"September 26, 2003",
11,B0000DJEG4,"Furniture At Work(R) Mission High-Back Executive Chair, Black/Charcoal",[],Office Depot,"September 26, 2003",
12,B0000DJEGF,"HON 7628BW90T Unanimous High-Performance Mid-Back Task Chair, Navy Blue Fabric","['Ergonomic seating is feature-packed for personalized comfort Pneumatic seat height adjustment, back height adjustment, 360-Degree swivel, tilt and tilt tension control Height/width adjustable arms ensure a custom fit for people of all sizes Upholstery with stain-resistant protection Black frame and standard casters Seat glide Asynchronous control Chair Type: Rolling Chair; Folding/Stacking: N\\A; Width: N\\A; Depth: N\\A']",HON,"February 1, 2006",
13,B0000DJEGF,"HON 7628BW90T Unanimous High-Performance Mid-Back Task Chair, Navy Blue Fabric","['Ergonomic seating is feature-packed for personalized comfort Pneumatic seat height adjustment, back height adjustment, 360-Degree swivel, tilt and tilt tension control Height/width adjustable arms ensure a custom fit for people of all sizes Upholstery with stain-resistant protection Black frame and standard casters Seat glide Asynchronous control Chair Type: Rolling Chair; Folding/Stacking: N\\A; Width: N\\A; Depth: N\\A']",HON,"February 1, 2006",
14,B0000WA0VM,"Furniture at Work(R) Chelsea Fabric Executive Chair, Black",[],Office Depot,"October 31, 2003",
15,B0000WA0VM,"Furniture at Work(R) Chelsea Fabric Executive Chair, Black",[],Office Depot,"October 31, 2003",
